Date,Open,High,Low,Close,Adj Close,Volume
2/18/21,0.049363,0.061799,0.048989,0.059541,0.059541,4551943638
2/19/21,0.059434,0.059497,0.054315,0.055139,0.055139,2949251418
2/20/21,0.055132,0.060286,0.051628,0.054384,0.054384,3175468554
2/21/21,0.054369,0.058428,0.053556,0.05598,0.05598,2450293068
2/22/21,0.056044,0.060466,0.047096,0.053725,0.053725,3366757324
2/23/21,0.053698,0.053768,0.04241,0.047392,0.047392,2394345361
2/24/21,0.047414,0.059873,0.046216,0.056555,0.056555,4148511571
2/25/21,0.056615,0.057808,0.049869,0.050167,0.050167,2356982022
2/26/21,0.050138,0.052472,0.048708,0.05048,0.05048,1694323466
2/27/21,0.0505,0.05192,0.049297,0.050083,0.050083,1286229526
2/28/21,0.050097,0.050134,0.045088,0.048052,0.048052,1408101260
3/1/21,0.04807,0.051479,0.048029,0.050599,0.050599,1494427207
3/2/21,0.050596,0.052382,0.049299,0.050262,0.050262,1346282318
3/3/21,0.050278,0.052126,0.050078,0.050592,0.050592,1093877445
3/4/21,0.050587,0.051087,0.047879,0.050048,0.050048,1170617084
3/5/21,0.050028,0.050854,0.048147,0.049609,0.049609,1173113591
3/6/21,0.049601,0.052397,0.049383,0.050984,0.050984,1480482384
3/7/21,0.05098,0.052141,0.050572,0.052122,0.052122,945455832
3/8/21,0.052123,0.061949,0.051672,0.061949,0.061949,3554150800
3/9/21,0.062104,0.062268,0.056051,0.057998,0.057998,2466159943
3/10/21,0.057964,0.058616,0.054692,0.056004,0.056004,1534489620
3/11/21,0.055977,0.056698,0.054502,0.055918,0.055918,1233383425
3/12/21,0.055921,0.05698,0.054513,0.055349,0.055349,1287767221
3/13/21,0.055353,0.062432,0.054756,0.062432,0.062432,1869833076
3/14/21,0.062384,0.063052,0.058592,0.058592,0.058592,2752132530
3/15/21,0.058531,0.059689,0.055141,0.057088,0.057088,1738710876
3/16/21,0.057086,0.058921,0.055493,0.058607,0.058607,1393771913
3/17/21,0.05861,0.058866,0.056471,0.057653,0.057653,861926643
3/18/21,0.05764,0.058828,0.054143,0.057383,0.057383,909777445
3/19/21,0.057377,0.059721,0.056604,0.058328,0.058328,964747809
3/20/21,0.058315,0.060639,0.05812,0.058961,0.058961,1012934488
3/21/21,0.05897,0.059521,0.056798,0.057234,0.057234,759592996
3/22/21,0.057259,0.057732,0.054909,0.054962,0.054962,696918565
3/23/21,0.054941,0.056081,0.05294,0.053556,0.053556,1040781777
3/24/21,0.053528,0.056494,0.051242,0.051702,0.051702,934537959
3/25/21,0.051699,0.052407,0.049697,0.051448,0.051448,1084214116
3/26/21,0.051433,0.054028,0.051331,0.053952,0.053952,776280028
3/27/21,0.05394,0.055435,0.053528,0.054377,0.054377,753844053
3/28/21,0.054381,0.054752,0.053013,0.053698,0.053698,460472975
3/29/21,0.053678,0.054651,0.053175,0.054052,0.054052,537919140
3/30/21,0.054052,0.055434,0.053697,0.0539,0.0539,728906171
3/31/21,0.053902,0.054468,0.052269,0.053657,0.053657,653389282
4/1/21,0.053655,0.070111,0.053644,0.061986,0.061986,5816046822
4/2/21,0.061968,0.062249,0.057333,0.057664,0.057664,2166925111
4/3/21,0.057658,0.059484,0.055804,0.055804,0.055804,1136931403
4/4/21,0.055776,0.058107,0.055295,0.057404,0.057404,938035097
4/5/21,0.057411,0.060153,0.056435,0.059696,0.059696,1513832721
4/6/21,0.059689,0.06505,0.058094,0.064458,0.064458,2608613912
4/7/21,0.064454,0.067299,0.057641,0.059028,0.059028,2857060849
4/8/21,0.059036,0.061745,0.058817,0.061464,0.061464,1055257541
4/9/21,0.061463,0.06391,0.060296,0.061684,0.061684,1060465774
4/10/21,0.061591,0.065068,0.060818,0.063845,0.063845,1369793118
4/11/21,0.063749,0.079243,0.063203,0.074649,0.074649,6646627317
4/12/21,0.074544,0.074986,0.068889,0.070767,0.070767,2687720380
4/13/21,0.070678,0.095181,0.070678,0.093445,0.093445,7176815090
4/14/21,0.094256,0.14251,0.092452,0.121517,0.121517,20977679327
4/15/21,0.121167,0.187326,0.120736,0.182207,0.182207,17916620386
4/16/21,0.181587,0.4377,0.180488,0.36587,0.36587,69410680685
4/17/21,0.366098,0.374455,0.236524,0.284173,0.284173,31413404067
4/18/21,0.285105,0.349918,0.24644,0.320475,0.320475,23464350388
4/19/21,0.320466,0.431751,0.30908,0.407318,0.407318,30641432779
4/20/21,0.408435,0.422347,0.271618,0.3195,0.3195,28130646191
4/21/21,0.316953,0.346966,0.297036,0.306925,0.306925,12723463706
4/22/21,0.30599,0.308757,0.256276,0.260967,0.260967,11879823706
4/23/21,0.261023,0.268378,0.163669,0.248509,0.248509,16165566164
4/24/21,0.249544,0.28939,0.229891,0.270212,0.270212,11057578568
4/25/21,0.269789,0.288771,0.226301,0.251111,0.251111,6849914675
4/26/21,0.25124,0.280452,0.248026,0.270674,0.270674,5118886527
4/27/21,0.271427,0.279629,0.264928,0.272188,0.272188,3590611310
4/28/21,0.272273,0.344662,0.256231,0.323682,0.323682,14464343767
4/29/21,0.323232,0.323881,0.296904,0.305169,0.305169,5027354503
4/30/21,0.304702,0.339757,0.302981,0.337561,0.337561,5290390982
5/1/21,0.337559,0.397135,0.32829,0.392987,0.392987,10123343703
5/2/21,0.391087,0.400029,0.364874,0.376046,0.376046,8040406918
5/3/21,0.373631,0.445567,0.373631,0.441707,0.441707,10526649978
5/4/21,0.440274,0.605998,0.4008,0.541334,0.541334,38238126181
5/5/21,0.537355,0.695262,0.523822,0.657633,0.657633,42525098292
5/6/21,0.652842,0.663616,0.545102,0.580804,0.580804,18989900291
5/7/21,0.58111,0.731972,0.520174,0.684777,0.684777,28615083657
5/8/21,0.687801,0.737567,0.608168,0.636439,0.636439,25555125135
5/9/21,0.63582,0.697625,0.425706,0.57007,0.57007,46138063928
5/10/21,0.569687,0.569687,0.421291,0.449964,0.449964,16514521828
5/11/21,0.450488,0.546651,0.445034,0.495231,0.495231,14566975476
5/12/21,0.493742,0.519975,0.385376,0.385376,0.385376,8621337859
5/13/21,0.392176,0.519461,0.357175,0.490374,0.490374,18663174069
5/14/21,0.494861,0.524046,0.467698,0.509555,0.509555,18453909504
